INFO: Obtaining the 10 best outliers for parser ParisNLP (Paris) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                      |  Position  |
|--------------------------------------------------------------------------------------------------------------------------------|------------|
| ('hsb_ufal', 'fro_srcmf', 'pl_sz', 'bxr_bdt', 'ko_gsd', 'eu_bdt', 'gl_ctg', 'vi_vtb', 'pl_lfg', 'cs_cac')                      |     3      |
| ('cs_fictree', 'hsb_ufal', 'bxr_bdt', 'eu_bdt', 'sme_giella', 'ar_padt', 'cs_cac', 'no_nynorsk', 'fa_seraji', 'nl_alpino')     |     3      |
| ('got_proiel', 'uk_iu', 'vi_vtb', 'bxr_bdt', 'de_gsd', 'hsb_ufal', 'no_nynorsk', 'ru_syntagrus', 'ar_padt', 'eu_bdt')          |     3      |
| ('fro_srcmf', 'kk_ktb', 'hsb_ufal', 'sme_giella', 'sr_set', 'bg_btb', 'sv_lines', 'fr_gsd', 'bxr_bdt', 'ko_gsd')               |     3      |
| ('fa_seraji', 'ur_udtb', 'ar_padt', 'cu_proiel', 'bxr_bdt', 'es_ancora', 'bg_btb', 'el_gdt', 'sk_snk', 'hsb_ufal')             |     3      |
| ('ko_kaist', 'bxr_bdt', 'fro_srcmf', 'no_nynorsk', 'sk_snk', 'hsb_ufal', 'ko_gsd', 'nl_alpino', 'fi_ftb', 'ja_gsd')            |     3      |
| ('hsb_ufal', 'bxr_bdt', 'fa_seraji', 'da_ddt', 'fr_gsd', 'la_ittb', 'ru_syntagrus', 'no_nynorsk', 'no_bokmaal', 'sme_giella')  |     3      |
| ('ur_udtb', 'sme_giella', 'cs_cac', 'hi_hdtb', 'hsb_ufal', 'fa_seraji', 'bxr_bdt', 'fro_srcmf', 'cs_fictree', 'got_proiel')    |     3      |
| ('bxr_bdt', 'grc_perseus', 'no_nynorsk', 'nl_alpino', 'sme_giella', 'de_gsd', 'fro_srcmf', 'hsb_ufal', 'got_proiel', 'hr_set') |     3      |
| ('fro_srcmf', 'sr_set', 'pt_bosque', 'fi_tdt', 'cs_pdt', 'sk_snk', 'ar_padt', 'hsb_ufal', 'bxr_bdt', 'vi_vtb')                 |     3      |

INFO: Showing outliers for CLAS

| Subset                                                                                                                            |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sme_giella', 'ur_udtb', 'ga_idt', 'fro_srcmf', 'ar_padt', 'sk_snk', 'ru_syntagrus', 'ug_udt', 'gl_ctg', 'es_ancora')            |     4      |
| ('pt_bosque', 'sme_giella', 'sv_lines', 'ur_udtb', 'pl_lfg', 'cs_cac', 'sk_snk', 'no_nynorsk', 'hi_hdtb', 'cs_pdt')               |     4      |
