INFO: Obtaining the 10 best outliers for parser BOUN (İstanbul) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                              |  Position  |
|-------------------------------------------------------------------------------------------------------------------------------|------------|
| ('cs_fictree', 'ru_syntagrus', 'hy_armtdp', 'fro_srcmf', 'gl_ctg', 'ko_gsd', 'kk_ktb', 'cs_cac', 'la_ittb', 'vi_vtb')         |     16     |
| ('grc_proiel', 'ko_gsd', 'gl_ctg', 'sme_giella', 'nl_lassysmall', 'vi_vtb', 'kk_ktb', 'pcm_nsc', 'fr_gsd', 'ko_kaist')        |     16     |
| ('sv_talbanken', 'ug_udt', 'ko_gsd', 'he_htb', 'sv_pud', 'fr_sequoia', 'el_gdt', 'pcm_nsc', 'ur_udtb', 'ja_modern')           |     17     |
| ('sl_sst', 'sl_ssj', 'ko_gsd', 'da_ddt', 'la_proiel', 'gl_ctg', 'pl_lfg', 'hr_set', 'en_lines', 'pcm_nsc')                    |     17     |
| ('ar_padt', 'pcm_nsc', 'ug_udt', 'he_htb', 'gl_ctg', 'fr_sequoia', 'hsb_ufal', 'pl_sz', 'pt_bosque', 'en_gum')                |     17     |
| ('it_postwita', 'ko_gsd', 'pcm_nsc', 'sv_lines', 'no_nynorsk', 'el_gdt', 'hy_armtdp', 'fa_seraji', 'pt_bosque', 'no_bokmaal') |     17     |
| ('hr_set', 'cs_pdt', 'ar_padt', 'pcm_nsc', 'fi_tdt', 'af_afribooms', 'fi_ftb', 'it_postwita', 'ko_gsd', 'pt_bosque')          |     17     |
| ('hu_szeged', 'fi_ftb', 'fr_sequoia', 'cs_pud', 'sk_snk', 'pcm_nsc', 'nl_lassysmall', 'it_postwita', 'ko_gsd', 'la_ittb')     |     17     |
| ('fa_seraji', 'sme_giella', 'no_bokmaal', 'ko_gsd', 'sv_talbanken', 'la_ittb', 'cs_cac', 'fro_srcmf', 'ro_rrt', 'ko_kaist')   |     17     |
| ('it_postwita', 'lv_lvtb', 'pcm_nsc', 'eu_bdt', 'da_ddt', 'ug_udt', 'ca_ancora', 'cs_fictree', 'hsb_ufal', 'fr_sequoia')      |     17     |

INFO: Showing outliers for CLAS

| Subset                                                                                                                      |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------|------------|
| ('br_keb', 'fro_srcmf', 'ko_gsd', 'cs_pdt', 'ko_kaist', 'eu_bdt', 'fr_gsd', 'sme_giella', 'pt_bosque', 'ug_udt')            |     16     |
| ('sme_giella', 'el_gdt', 'ru_syntagrus', 'pl_sz', 'th_pud', 'cs_cac', 'ko_kaist', 'fro_srcmf', 'bxr_bdt', 'hsb_ufal')       |     16     |
| ('zh_gsd', 'hy_armtdp', 'bg_btb', 'vi_vtb', 'cs_fictree', 'el_gdt', 'ko_kaist', 'ko_gsd', 'ru_syntagrus', 'got_proiel')     |     17     |
| ('fa_seraji', 'sme_giella', 'no_bokmaal', 'ko_gsd', 'sv_talbanken', 'la_ittb', 'cs_cac', 'fro_srcmf', 'ro_rrt', 'ko_kaist') |     17     |
| ('ug_udt', 'fo_oft', 'cs_cac', 'ko_kaist', 'ro_rrt', 'ur_udtb', 'got_proiel', 'ar_padt', 'fr_gsd', 'cs_fictree')            |     17     |
| ('ur_udtb', 'cs_pdt', 'et_edt', 'sme_giella', 'ko_gsd', 'fi_tdt', 'br_keb', 'sv_talbanken', 'ko_kaist', 'th_pud')           |     17     |
| ('cs_pdt', 'et_edt', 'ko_gsd', 'bxr_bdt', 'pl_sz', 'hsb_ufal', 'got_proiel', 'cs_cac', 'ro_rrt', 'lv_lvtb')                 |     17     |
| ('pl_sz', 'grc_proiel', 'fo_oft', 'ko_gsd', 'fi_ftb', 'ko_kaist', 'sl_ssj', 'got_proiel', 'fro_srcmf', 'no_nynorsk')        |     17     |
| ('hsb_ufal', 'sv_lines', 'got_proiel', 'lv_lvtb', 'ug_udt', 'ko_gsd', 'bxr_bdt', 'br_keb', 'pl_lfg', 'ru_syntagrus')        |     17     |
| ('hu_szeged', 'sv_talbanken', 'hsb_ufal', 'et_edt', 'cs_pdt', 'grc_proiel', 'sk_snk', 'cu_proiel', 'ko_kaist', 'he_htb')    |     17     |

INFO: Showing outliers for UPOS tagging

| Subset                                                                                                                         |  Position  |
|--------------------------------------------------------------------------------------------------------------------------------|------------|
| ('ru_syntagrus', 'pt_bosque', 'got_proiel', 'ja_modern', 'bxr_bdt', 'kmr_mg', 'fro_srcmf', 'hy_armtdp', 'la_ittb', 'cs_pud')   |     10     |
| ('bxr_bdt', 'ar_padt', 'en_pud', 'kmr_mg', 'got_proiel', 'la_proiel', 'id_gsd', 'hsb_ufal', 'ja_modern', 'hy_armtdp')          |     10     |
| ('kmr_mg', 'bxr_bdt', 'en_gum', 'ru_taiga', 'hsb_ufal', 'grc_proiel', 'id_gsd', 'en_pud', 'it_isdt', 'sme_giella')             |     10     |
| ('ja_modern', 'bxr_bdt', 'la_ittb', 'got_proiel', 'es_ancora', 'cs_fictree', 'kmr_mg', 'hy_armtdp', 'la_proiel', 'cs_pud')     |     10     |
| ('bxr_bdt', 'hy_armtdp', 'gl_ctg', 'kmr_mg', 'fro_srcmf', 'ca_ancora', 'ja_modern', 'ru_syntagrus', 'de_gsd', 'hsb_ufal')      |     10     |
| ('en_pud', 'gl_ctg', 'hy_armtdp', 'cu_proiel', 'sme_giella', 'bxr_bdt', 'br_keb', 'cs_fictree', 'cs_pud', 'tr_imst')           |     10     |
