INFO: Obtaining the 10 best outliers for parser NLP-Cube (București) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                |  Position  |
|---------------------------------------------------------------------------------------------------------------------|------------|
| ('af_afribooms', 'ko_kaist', 'ug_udt', 'kk_ktb', 'it_isdt', 'es_ancora', 'vi_vtb', 'hu_szeged', 'uk_iu', 'zh_gsd')  |     2      |
| ('pl_lfg', 'vi_vtb', 'cs_fictree', 'no_bokmaal', 'cs_pud', 'sk_snk', 'zh_gsd', 'id_gsd', 'hi_hdtb', 'ga_idt')       |     2      |
| ('no_nynorsk', 'sv_talbanken', 'fr_gsd', 'ja_gsd', 'sl_ssj', 'kmr_mg', 'la_ittb', 'pl_lfg', 'cs_fictree', 'bg_btb') |     2      |
| ('ga_idt', 'fi_pud', 'ja_gsd', 'hr_set', 'uk_iu', 'ru_syntagrus', 'ca_ancora', 'vi_vtb', 'eu_bdt', 'af_afribooms')  |     2      |
| ('en_ewt', 'he_htb', 'gl_ctg', 'ja_gsd', 'ru_syntagrus', 'ga_idt', 'ca_ancora', 'vi_vtb', 'et_edt', 'cs_pud')       |     2      |
| ('da_ddt', 'ja_gsd', 'sv_pud', 'kmr_mg', 'eu_bdt', 'bg_btb', 'lv_lvtb', 'ca_ancora', 'hr_set', 'pl_lfg')            |     2      |
| ('ja_gsd', 'la_ittb', 'id_gsd', 'vi_vtb', 'sv_talbanken', 'sr_set', 'ga_idt', 'cs_pud', 'ur_udtb', 'nl_lassysmall') |     2      |
| ('sl_ssj', 'fi_ftb', 'no_nynorsk', 'ga_idt', 'af_afribooms', 'ja_gsd', 'eu_bdt', 'gl_ctg', 'en_ewt', 'fa_seraji')   |     2      |
| ('pl_lfg', 'fa_seraji', 'zh_gsd', 'eu_bdt', 'ur_udtb', 'it_isdt', 'vi_vtb', 'kk_ktb', 'sk_snk', 'fi_pud')           |     2      |
| ('ja_gsd', 'ga_idt', 'hu_szeged', 'cs_pud', 'la_ittb', 'da_ddt', 'sv_talbanken', 'hr_set', 'en_ewt', 'he_htb')      |     2      |

INFO: Showing outliers for CLAS

| Subset                                                                                                                 |  Position  |
|------------------------------------------------------------------------------------------------------------------------|------------|
| ('zh_gsd', 'de_gsd', 'ja_gsd', 'sv_pud', 'ur_udtb', 'gl_ctg', 'it_isdt', 'hu_szeged', 'sl_ssj', 'da_ddt')              |     3      |
| ('fa_seraji', 'pl_lfg', 'vi_vtb', 'ja_gsd', 'th_pud', 'cs_cac', 'ru_syntagrus', 'sl_ssj', 'cs_fictree', 'en_pud')      |     3      |
| ('ru_syntagrus', 'ca_ancora', 'no_nynorsk', 'sk_snk', 'sv_lines', 'cs_cac', 'ja_gsd', 'zh_gsd', 'en_gum', 'pl_sz')     |     3      |
| ('nl_lassysmall', 'cs_fictree', 'pl_lfg', 'sl_ssj', 'gl_ctg', 'zh_gsd', 'ja_gsd', 'da_ddt', 'eu_bdt', 'nl_alpino')     |     3      |
| ('en_ewt', 'pt_bosque', 'sk_snk', 'ko_kaist', 'nl_alpino', 'zh_gsd', 'af_afribooms', 'fr_gsd', 'eu_bdt', 'ja_gsd')     |     3      |
| ('ja_gsd', 'ur_udtb', 'hr_set', 'hi_hdtb', 'ko_kaist', 'cs_cac', 'ca_ancora', 'fa_seraji', 'et_edt', 'it_isdt')        |     3      |
| ('cs_pud', 'pt_bosque', 'nl_alpino', 'ko_kaist', 'ja_gsd', 'zh_gsd', 'sv_lines', 'th_pud', 'hr_set', 'af_afribooms')   |     3      |
| ('no_nynorsk', 'sv_lines', 'eu_bdt', 'hsb_ufal', 'sl_ssj', 'hy_armtdp', 'zh_gsd', 'fi_tdt', 'hr_set', 'sv_talbanken')  |     3      |
| ('ru_syntagrus', 'hsb_ufal', 'es_ancora', 'ko_kaist', 'hy_armtdp', 'ca_ancora', 'uk_iu', 'ko_gsd', 'ja_gsd', 'en_pud') |     3      |
| ('no_nynorsk', 'zh_gsd', 'it_isdt', 'ca_ancora', 'cs_pud', 'fi_pud', 'sl_ssj', 'vi_vtb', 'nl_alpino', 'ur_udtb')       |     3      |

INFO: Showing outliers for UPOS tagging

| Subset                                                                                                                    |  Position  |
|---------------------------------------------------------------------------------------------------------------------------|------------|
| ('cs_pdt', 'fa_seraji', 'af_afribooms', 'kmr_mg', 'fr_spoken', 'cs_fictree', 'fi_pud', 'kk_ktb', 'ga_idt', 'no_bokmaal')  |     2      |
| ('nl_alpino', 'sk_snk', 'ru_syntagrus', 'kmr_mg', 'sv_talbanken', 'cs_cac', 'sr_set', 'it_postwita', 'kk_ktb', 'en_ewt')  |     2      |
| ('da_ddt', 'kk_ktb', 'hsb_ufal', 'eu_bdt', 'de_gsd', 'sk_snk', 'ro_rrt', 'gl_ctg', 'en_gum', 'vi_vtb')                    |     2      |
| ('zh_gsd', 'ug_udt', 'kk_ktb', 'hsb_ufal', 'sv_talbanken', 'uk_iu', 'sl_ssj', 'af_afribooms', 'sr_set', 'nl_alpino')      |     2      |
| ('sl_ssj', 'pt_bosque', 'it_isdt', 'cs_pud', 'gl_ctg', 'hsb_ufal', 'de_gsd', 'ja_gsd', 'vi_vtb', 'kk_ktb')                |     2      |
| ('sl_ssj', 'af_afribooms', 'pl_lfg', 'kk_ktb', 'ur_udtb', 'cs_pdt', 'ca_ancora', 'ug_udt', 'sk_snk', 'hsb_ufal')          |     2      |
| ('kk_ktb', 'ca_ancora', 'hi_hdtb', 'ug_udt', 'nl_lassysmall', 'hu_szeged', 'hr_set', 'hsb_ufal', 'el_gdt', 'tr_imst')     |     2      |
| ('es_ancora', 'hsb_ufal', 'de_gsd', 'hu_szeged', 'kk_ktb', 'ur_udtb', 'ja_gsd', 'it_isdt', 'cs_pdt', 'sv_talbanken')      |     2      |
| ('ga_idt', 'kk_ktb', 'sr_set', 'sl_ssj', 'cs_fictree', 'cs_pdt', 'gl_ctg', 'sv_talbanken', 'nl_lassysmall', 'pl_lfg')     |     2      |
| ('fro_srcmf', 'ga_idt', 'vi_vtb', 'ru_syntagrus', 'da_ddt', 'hsb_ufal', 'ug_udt', 'kk_ktb', 'no_bokmaal', 'af_afribooms') |     2      |

INFO: Showing outliers for XPOS tagging

| Subset                                                                                                                     |  Position  |
|----------------------------------------------------------------------------------------------------------------------------|------------|
| ('ko_kaist', 'sl_sst', 'ga_idt', 'th_pud', 'zh_gsd', 'gl_ctg', 'bg_btb', 'no_nynorsklia', 'fi_pud', 'kk_ktb')              |     1      |
| ('da_ddt', 'pt_bosque', 'sv_talbanken', 'id_gsd', 'fr_sequoia', 'kmr_mg', 'got_proiel', 'it_postwita', 'cs_pud', 'kk_ktb') |     1      |
| ('ur_udtb', 'cs_fictree', 'fro_srcmf', 'sr_set', 'no_nynorsk', 'pcm_nsc', 'tr_imst', 'it_isdt', 'pt_bosque', 'fi_pud')     |     1      |
