INFO: Obtaining the 10 best outliers for parser IBM NY (Yorktown Heights) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                  |  Position  |
| Subset                                                                                                                        |  Position  |
|-------------------------------------------------------------------------------------------------------------------------------|------------|
| ('el_gdt', 'kmr_mg', 'hi_hdtb', 'gl_ctg', 'id_gsd', 'bxr_bdt', 'sl_ssj', 'da_ddt', 'nl_lassysmall', 'hsb_ufal')               |     3      |
| ('no_nynorsk', 'hr_set', 'bxr_bdt', 'hi_hdtb', 'kk_ktb', 'ro_rrt', 'sv_pud', 'da_ddt', 'it_postwita', 'hsb_ufal')             |     3      |
| ('kmr_mg', 'sr_set', 'hi_hdtb', 'sk_snk', 'ru_syntagrus', 'fr_spoken', 'ur_udtb', 'hsb_ufal', 'bxr_bdt', 'cs_pud')            |     3      |
| ('it_postwita', 'hsb_ufal', 'kmr_mg', 'cu_proiel', 'sv_pud', 'no_nynorsk', 'da_ddt', 'af_afribooms', 'bxr_bdt', 'ga_idt')     |     3      |
| ('et_edt', 'bxr_bdt', 'fr_sequoia', 'en_pud', 'ja_gsd', 'fro_srcmf', 'fo_oft', 'hsb_ufal', 'ro_rrt', 'ca_ancora')             |     3      |
| ('no_nynorsklia', 'uk_iu', 'fa_seraji', 'sv_pud', 'kmr_mg', 'en_pud', 'bxr_bdt', 'fi_ftb', 'ja_modern', 'hsb_ufal')           |     3      |
| ('no_bokmaal', 'it_postwita', 'vi_vtb', 'et_edt', 'bxr_bdt', 'hu_szeged', 'hsb_ufal', 'fi_ftb', 'ro_rrt', 'la_ittb')          |     3      |
| ('cs_fictree', 'it_postwita', 'fro_srcmf', 'sl_ssj', 'ru_syntagrus', 'hsb_ufal', 'kk_ktb', 'cs_pud', 'got_proiel', 'bxr_bdt') |     3      |
| ('grc_proiel', 'lv_lvtb', 'kmr_mg', 'ru_taiga', 'bxr_bdt', 'hi_hdtb', 'hsb_ufal', 'fo_oft', 'ru_syntagrus', 'cs_pdt')         |     3      |
| ('ru_taiga', 'got_proiel', 'cs_fictree', 'fi_pud', 'bxr_bdt', 'hsb_ufal', 'fa_seraji', 'vi_vtb', 'bg_btb', 'it_postwita')     |     3      |

INFO: Showing outliers for CLAS

| Subset                                                                                                                            |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('bxr_bdt', 'es_ancora', 'got_proiel', 'pt_bosque', 'ru_taiga', 'sl_ssj', 'cs_pud', 'hsb_ufal', 'kmr_mg', 'ja_modern')            |     3      |
| ('kk_ktb', 'kmr_mg', 'id_gsd', 'pcm_nsc', 'it_isdt', 'ug_udt', 'es_ancora', 'bxr_bdt', 'hsb_ufal', 'ja_modern')                   |     4      |
| ('bxr_bdt', 'fo_oft', 'ar_padt', 'it_postwita', 'ko_gsd', 'hsb_ufal', 'fro_srcmf', 'ru_taiga', 'es_ancora', 'ja_modern')          |     4      |
| ('hsb_ufal', 'nl_alpino', 'ja_gsd', 'ru_taiga', 'it_postwita', 'fro_srcmf', 'kmr_mg', 'hi_hdtb', 'es_ancora', 'ur_udtb')          |     4      |
| ('th_pud', 'it_postwita', 'hsb_ufal', 'kk_ktb', 'hr_set', 'cs_pud', 'sr_set', 'id_gsd', 'ko_kaist', 'kmr_mg')                     |     4      |
| ('vi_vtb', 'cs_pdt', 'cs_pud', 'fro_srcmf', 'en_ewt', 'hsb_ufal', 'kmr_mg', 'ja_modern', 'ru_taiga', 'sv_talbanken')              |     4      |
| ('ur_udtb', 'ru_syntagrus', 'it_postwita', 'ja_modern', 'bxr_bdt', 'tr_imst', 'hsb_ufal', 'no_nynorsklia', 'fro_srcmf', 'fr_gsd') |     4      |
| ('ja_modern', 'hsb_ufal', 'kk_ktb', 'kmr_mg', 'ko_kaist', 'bxr_bdt', 'cs_cac', 'it_postwita', 'ur_udtb', 'de_gsd')                |     4      |
| ('hsb_ufal', 'ja_modern', 'sk_snk', 'bxr_bdt', 'ur_udtb', 'en_gum', 'vi_vtb', 'la_ittb', 'ru_taiga', 'kmr_mg')                    |     4      |
| ('no_nynorsk', 'id_gsd', 'ko_kaist', 'ja_modern', 'fr_gsd', 'hsb_ufal', 'ko_gsd', 'sv_pud', 'kmr_mg', 'ru_taiga')                 |     4      |

INFO: Showing outliers for UPOS tagging

| Subset                                                                                                                           |  Position  |
|----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sl_ssj', 'hr_set', 'hsb_ufal', 'ro_rrt', 'ru_syntagrus', 'uk_iu', 'got_proiel', 'kmr_mg', 'kk_ktb', 'it_isdt')                 |     1      |
| ('zh_gsd', 'bg_btb', 'el_gdt', 'hr_set', 'fr_sequoia', 'fo_oft', 'cu_proiel', 'hsb_ufal', 'ko_gsd', 'kmr_mg')                    |     1      |
| ('kmr_mg', 'sv_talbanken', 'zh_gsd', 'ro_rrt', 'cs_pdt', 'fo_oft', 'es_ancora', 'el_gdt', 'nl_alpino', 'hsb_ufal')               |     1      |
| ('ca_ancora', 'kmr_mg', 'fo_oft', 'fi_tdt', 'ja_modern', 'cu_proiel', 'hsb_ufal', 'cs_fictree', 'no_nynorsklia', 'af_afribooms') |     1      |
| ('ko_kaist', 'da_ddt', 'fo_oft', 'hsb_ufal', 'grc_perseus', 'en_pud', 'ru_syntagrus', 'kmr_mg', 'ca_ancora', 'he_htb')           |     1      |
| ('ur_udtb', 'ru_syntagrus', 'pl_sz', 'it_postwita', 'fr_gsd', 'fo_oft', 'kmr_mg', 'nl_lassysmall', 'hsb_ufal', 'et_edt')         |     1      |
| ('af_afribooms', 'fa_seraji', 'cs_cac', 'hsb_ufal', 'eu_bdt', 'es_ancora', 'fo_oft', 'he_htb', 'kk_ktb', 'da_ddt')               |     1      |
| ('fi_tdt', 'cs_pdt', 'el_gdt', 'hsb_ufal', 'no_nynorsk', 'fro_srcmf', 'fo_oft', 'la_ittb', 'cs_pud', 'kk_ktb')                   |     1      |
| ('sv_pud', 'ca_ancora', 'fi_pud', 'en_ewt', 'hsb_ufal', 'cs_cac', 'pt_bosque', 'fo_oft', 'got_proiel', 'es_ancora')              |     1      |
| ('fo_oft', 'sv_lines', 'fi_tdt', 'sl_ssj', 'hr_set', 'la_proiel', 'hsb_ufal', 'kmr_mg', 'el_gdt', 'id_gsd')                      |     1      |

INFO: Showing outliers for XPOS tagging

| Subset                                                                                                                  |  Position  |
|-------------------------------------------------------------------------------------------------------------------------|------------|
| ('fr_spoken', 'ja_modern', 'fi_pud', 'br_keb', 'he_htb', 'vi_vtb', 'cs_pud', 'tr_imst', 'ru_syntagrus', 'cs_pdt')       |     1      |
| ('he_htb', 'fr_spoken', 'da_ddt', 'bxr_bdt', 'hy_armtdp', 'fi_pud', 'fi_ftb', 'fo_oft', 'ru_syntagrus', 'pt_bosque')    |     1      |
| ('ru_syntagrus', 'fi_pud', 'hsb_ufal', 'fr_spoken', 'tr_imst', 'pt_bosque', 'kk_ktb', 'sr_set', 'cs_pdt', 'hr_set')     |     1      |
| ('ru_taiga', 'hy_armtdp', 'fr_spoken', 'no_nynorsk', 'fi_pud', 'hsb_ufal', 'kmr_mg', 'fr_gsd', 'cs_pdt', 'hu_szeged')   |     1      |
| ('fi_pud', 'hy_armtdp', 'pcm_nsc', 'bxr_bdt', 'no_nynorsk', 'hu_szeged', 'ru_syntagrus', 'eu_bdt', 'ga_idt', 'zh_gsd')  |     1      |
| ('fi_pud', 'ru_taiga', 'br_keb', 'hr_set', 'sk_snk', 'bxr_bdt', 'he_htb', 'th_pud', 'cs_pud', 'sr_set')                 |     1      |
| ('kmr_mg', 'no_bokmaal', 'fi_pud', 'bxr_bdt', 'hr_set', 'ru_taiga', 'hsb_ufal', 'fr_sequoia', 'hu_szeged', 'hy_armtdp') |     1      |
