INFO: Obtaining the 10 worst outliers for parser KParse (İstanbul) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                     |  Position  |
| ('no_nynorsk', 'af_afribooms', 'en_lines', 'got_proiel', 'hi_hdtb', 'ar_padt', 'da_ddt', 'th_pud', 'bxr_bdt', 'en_ewt')       |     22     |
| ('cs_pdt', 'got_proiel', 'th_pud', 'pl_lfg', 'cu_proiel', 'pl_sz', 'ko_kaist', 'grc_perseus', 'pt_bosque', 'no_nynorsk')      |     22     |
| ('bxr_bdt', 'hi_hdtb', 'cs_cac', 'no_nynorsk', 'cu_proiel', 'grc_proiel', 'br_keb', 'fro_srcmf', 'got_proiel', 'en_ewt')      |     22     |
| ('cu_proiel', 'fro_srcmf', 'no_bokmaal', 'kmr_mg', 'hi_hdtb', 'bxr_bdt', 'br_keb', 'sr_set', 'got_proiel', 'en_pud')          |     22     |
| ('pl_sz', 'sr_set', 'got_proiel', 'bxr_bdt', 'no_bokmaal', 'br_keb', 'it_isdt', 'he_htb', 'cs_fictree', 'pl_lfg')             |     22     |
| ('no_bokmaal', 'ar_padt', 'cu_proiel', 'ca_ancora', 'sr_set', 'bxr_bdt', 'no_nynorsk', 'pt_bosque', 'br_keb', 'en_ewt')       |     22     |
| ('got_proiel', 'cs_pdt', 'grc_perseus', 'fro_srcmf', 'fi_ftb', 'grc_proiel', 'cu_proiel', 'pt_bosque', 'fo_oft', 'ca_ancora') |     22     |
| ('ja_gsd', 'got_proiel', 'cu_proiel', 'fro_srcmf', 'ca_ancora', 'cs_cac', 'no_nynorsk', 'th_pud', 'kmr_mg', 'hi_hdtb')        |     22     |
| ('en_ewt', 'pl_sz', 'sv_pud', 'got_proiel', 'fro_srcmf', 'bxr_bdt', 'kmr_mg', 'da_ddt', 'br_keb', 'id_gsd')                   |     21     |
| ('fr_gsd', 'sr_set', 'pt_bosque', 'got_proiel', 'vi_vtb', 'af_afribooms', 'th_pud', 'en_pud', 'cs_fictree', 'en_ewt')         |     21     |

INFO: Showing outliers for CLAS

| Subset                                                                                                                             |  Position  |
|------------------------------------------------------------------------------------------------------------------------------------|------------|
| ('hi_hdtb', 'ko_kaist', 'fro_srcmf', 'fr_gsd', 'grc_proiel', 'fo_oft', 'ca_ancora', 'cs_pdt', 'th_pud', 'no_nynorsk')              |     22     |
| ('cu_proiel', 'ja_gsd', 'pl_lfg', 'bxr_bdt', 'fo_oft', 'sv_lines', 'br_keb', 'vi_vtb', 'got_proiel', 'el_gdt')                     |     22     |
| ('pl_lfg', 'fo_oft', 'hsb_ufal', 'no_nynorsk', 'pt_bosque', 'bxr_bdt', 'cs_cac', 'got_proiel', 'cs_pdt', 'bg_btb')                 |     22     |
| ('pt_bosque', 'got_proiel', 'sme_giella', 'hsb_ufal', 'fo_oft', 'sv_talbanken', 'no_nynorsk', 'hi_hdtb', 'cu_proiel', 'ca_ancora') |     22     |
| ('cs_fictree', 'br_keb', 'cu_proiel', 'en_ewt', 'cs_pud', 'got_proiel', 'de_gsd', 'da_ddt', 'vi_vtb', 'th_pud')                    |     22     |
| ('got_proiel', 'ja_gsd', 'th_pud', 'cs_fictree', 'grc_proiel', 'nl_alpino', 'sv_talbanken', 'br_keb', 'vi_vtb', 'he_htb')          |     22     |
| ('bg_btb', 'sl_sst', 'fro_srcmf', 'grc_perseus', 'br_keb', 'fo_oft', 'sk_snk', 'cs_pdt', 'ko_gsd', 'got_proiel')                   |     22     |
| ('hsb_ufal', 'no_nynorsk', 'hi_hdtb', 'id_gsd', 'grc_proiel', 'got_proiel', 'br_keb', 'ja_gsd', 'grc_perseus', 'el_gdt')           |     22     |
| ('fr_gsd', 'ja_gsd', 'grc_proiel', 'fro_srcmf', 'ko_kaist', 'sme_giella', 'fo_oft', 'nl_alpino', 'th_pud', 'no_bokmaal')           |     22     |
| ('fro_srcmf', 'ko_kaist', 'br_keb', 'cu_proiel', 'grc_perseus', 'bg_btb', 'hsb_ufal', 'fo_oft', 'nl_lassysmall', 'no_bokmaal')     |     22     |

INFO: Showing outliers for UPOS tagging

| Subset                                                                                                                          |  Position  |
|---------------------------------------------------------------------------------------------------------------------------------|------------|
| ('bxr_bdt', 'sl_sst', 'da_ddt', 'ur_udtb', 'sv_lines', 'pl_lfg', 'it_isdt', 'fr_sequoia', 'hu_szeged', 'zh_gsd')                |     24     |
| ('br_keb', 'fr_sequoia', 'pl_lfg', 'cs_pdt', 'hu_szeged', 'sv_pud', 'en_gum', 'got_proiel', 'ca_ancora', 'id_gsd')              |     24     |
| ('nl_alpino', 'pt_bosque', 'en_gum', 'hu_szeged', 'da_ddt', 'sv_lines', 'af_afribooms', 'bxr_bdt', 'fi_ftb', 'sr_set')          |     24     |
| ('hsb_ufal', 'bxr_bdt', 'sr_set', 'ko_gsd', 'fr_sequoia', 'cs_cac', 'af_afribooms', 'no_nynorsk', 'da_ddt', 'cs_fictree')       |     24     |
| ('es_ancora', 'sk_snk', 'nl_lassysmall', 'pl_lfg', 'ja_gsd', 'got_proiel', 'id_gsd', 'bxr_bdt', 'sv_pud', 'sv_talbanken')       |     24     |
| ('bxr_bdt', 'fi_ftb', 'no_bokmaal', 'ur_udtb', 'en_lines', 'nl_alpino', 'eu_bdt', 'la_proiel', 'en_pud', 'sl_sst')              |     24     |
| ('ru_taiga', 'hr_set', 'no_bokmaal', 'he_htb', 'bxr_bdt', 'sl_sst', 'sv_pud', 'fro_srcmf', 'ja_gsd', 'fi_ftb')                  |     24     |
| ('cs_fictree', 'ca_ancora', 'fr_sequoia', 'ko_gsd', 'en_lines', 'es_ancora', 'el_gdt', 'bxr_bdt', 'got_proiel', 'pl_lfg')       |     24     |
| ('gl_treegal', 'sv_talbanken', 'fr_gsd', 'hi_hdtb', 'af_afribooms', 'he_htb', 'nl_alpino', 'bxr_bdt', 'pl_sz', 'it_isdt')       |     24     |
| ('zh_gsd', 'hu_szeged', 'hsb_ufal', 'es_ancora', 'no_bokmaal', 'sv_talbanken', 'fa_seraji', 'nl_alpino', 'pt_bosque', 'en_ewt') |     24     |

INFO: Showing outliers for XPOS tagging

| Subset                                                                                                                              |  Position  |
|-------------------------------------------------------------------------------------------------------------------------------------|------------|
| ('ro_rrt', 'nl_lassysmall', 'ug_udt', 'it_postwita', 'gl_treegal', 'ko_gsd', 'ja_gsd', 'fi_pud', 'ko_kaist', 'sl_sst')              |     16     |
| ('fro_srcmf', 'it_postwita', 'tr_imst', 'la_ittb', 'ja_gsd', 'ur_udtb', 'en_gum', 'eu_bdt', 'ko_gsd', 'ja_modern')                  |     16     |
| ('id_gsd', 'ja_gsd', 'hu_szeged', 'es_ancora', 'it_postwita', 'ja_modern', 'grc_perseus', 'pl_lfg', 'sv_lines', 'he_htb')           |     16     |
| ('sl_sst', 'sr_set', 'it_postwita', 'br_keb', 'et_edt', 'la_proiel', 'ja_gsd', 'sv_lines', 'got_proiel', 'fr_spoken')               |     16     |
| ('fi_ftb', 'en_gum', 'hr_set', 'ja_gsd', 'fro_srcmf', 'en_lines', 'sme_giella', 'en_ewt', 'it_postwita', 'pl_lfg')                  |     16     |
| ('nl_lassysmall', 'ko_gsd', 'la_proiel', 'pt_bosque', 'ru_syntagrus', 'ja_gsd', 'ur_udtb', 'no_bokmaal', 'it_postwita', 'de_gsd')   |     16     |
| ('it_postwita', 'pt_bosque', 'en_ewt', 'ja_gsd', 'ko_gsd', 'cs_fictree', 'nl_alpino', 'et_edt', 'ru_taiga', 'sv_lines')             |     16     |
| ('pt_bosque', 'no_nynorsk', 'hu_szeged', 'ja_gsd', 'it_postwita', 'cs_pdt', 'la_perseus', 'et_edt', 'bg_btb', 'ca_ancora')          |     16     |
| ('hu_szeged', 'it_postwita', 'got_proiel', 'pt_bosque', 'af_afribooms', 'ca_ancora', 'fi_ftb', 'da_ddt', 'nl_lassysmall', 'ja_gsd') |     16     |
| ('ja_gsd', 'it_postwita', 'sk_snk', 'br_keb', 'fi_pud', 'bg_btb', 'it_isdt', 'ko_gsd', 'cs_fictree', 'en_lines')                    |     16     |

INFO: Showing outliers for Morphological features

| Subset                                                                                                                           |  Position  |
|----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('it_isdt', 'tr_imst', 'en_gum', 'hu_szeged', 'zh_gsd', 'vi_vtb', 'hy_armtdp', 'he_htb', 'fro_srcmf', 'fa_seraji')               |     24     |
| ('tr_imst', 'it_isdt', 'hu_szeged', 'ru_taiga', 'nl_alpino', 'pl_sz', 'ja_gsd', 'vi_vtb', 'ur_udtb', 'hy_armtdp')                |     24     |
| ('sl_sst', 'nl_alpino', 'ca_ancora', 'fa_seraji', 'bxr_bdt', 'en_lines', 'ko_gsd', 'fr_spoken', 'el_gdt', 'vi_vtb')              |     23     |
| ('fro_srcmf', 'hy_armtdp', 'bg_btb', 'grc_perseus', 'ur_udtb', 'it_isdt', 'vi_vtb', 'el_gdt', 'pl_lfg', 'ja_gsd')                |     23     |
| ('af_afribooms', 'ko_kaist', 'ug_udt', 'kk_ktb', 'it_isdt', 'es_ancora', 'vi_vtb', 'hu_szeged', 'uk_iu', 'zh_gsd')               |     23     |
| ('grc_perseus', 'zh_gsd', 'it_isdt', 'ga_idt', 'ja_gsd', 'kk_ktb', 'fa_seraji', 'vi_vtb', 'hu_szeged', 'hi_hdtb')                |     23     |
| ('ur_udtb', 'ca_ancora', 'gl_treegal', 'hu_szeged', 'af_afribooms', 'sl_sst', 'pl_sz', 'sv_talbanken', 'cu_proiel', 'fa_seraji') |     23     |
| ('en_pud', 'nl_lassysmall', 'no_nynorsk', 'es_ancora', 'bxr_bdt', 'ur_udtb', 'nl_alpino', 'gl_treegal', 'hu_szeged', 'ja_gsd')   |     23     |
| ('hu_szeged', 'pl_lfg', 'en_pud', 'sl_sst', 'vi_vtb', 'fr_gsd', 'hsb_ufal', 'pl_sz', 'la_ittb', 'da_ddt')                        |     23     |
| ('cu_proiel', 'fro_srcmf', 'en_ewt', 'ko_kaist', 'no_nynorsk', 'no_nynorsklia', 'got_proiel', 'hu_szeged', 'sk_snk', 'hi_hdtb')  |     23     |

INFO: Showing outliers for All morphological tags

| Subset                                                                                                                    |  Position  |
|---------------------------------------------------------------------------------------------------------------------------|------------|
| ('hu_szeged', 'grc_perseus', 'vi_vtb', 'ur_udtb', 'gl_treegal', 'ja_gsd', 'cs_cac', 'bg_btb', 'fo_oft', 'nl_lassysmall')  |     22     |
| ('hu_szeged', 'ko_kaist', 'ur_udtb', 'id_gsd', 'grc_perseus', 'th_pud', 'da_ddt', 'la_ittb', 'af_afribooms', 'es_ancora') |     22     |
| ('fi_pud', 'ca_ancora', 'it_isdt', 'el_gdt', 'cs_cac', 'grc_perseus', 'th_pud', 'ja_modern', 'tr_imst', 'hu_szeged')      |     22     |
| ('ur_udtb', 'cs_pdt', 'da_ddt', 'nl_alpino', 'gl_treegal', 'id_gsd', 'sr_set', 'grc_perseus', 'br_keb', 'bg_btb')         |     22     |
| ('fi_pud', 'id_gsd', 'cs_fictree', 'hi_hdtb', 'ca_ancora', 'es_ancora', 'cs_pdt', 'grc_perseus', 'it_isdt', 'sl_sst')     |     22     |
| ('grc_perseus', 'en_ewt', 'hu_szeged', 'he_htb', 'br_keb', 'pt_bosque', 'ko_kaist', 'id_gsd', 'fa_seraji', 'pl_lfg')      |     22     |
| ('pl_sz', 'ja_modern', 'fa_seraji', 'ko_gsd', 'gl_treegal', 'tr_imst', 'hu_szeged', 'fr_spoken', 'grc_perseus', 'fi_pud') |     22     |
| ('fo_oft', 'id_gsd', 'cs_fictree', 'fi_pud', 'got_proiel', 'da_ddt', 'it_isdt', 'hu_szeged', 'pl_lfg', 'ja_modern')       |     22     |
| ('en_ewt', 'ko_kaist', 'th_pud', 'nl_alpino', 'cs_pdt', 'es_ancora', 'hu_szeged', 'gl_treegal', 'grc_proiel', 'sr_set')   |     22     |
| ('sl_sst', 'el_gdt', 'vi_vtb', 'grc_perseus', 'bg_btb', 'la_ittb', 'hu_szeged', 'id_gsd', 'ja_gsd', 'sr_set')             |     22     |

INFO: Showing outliers for Lemmatization

| Subset                                                                                                                           |  Position  |
|----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('th_pud', 'fr_gsd', 'en_lines', 'af_afribooms', 'de_gsd', 'en_ewt', 'ja_gsd', 'da_ddt', 'el_gdt', 'fro_srcmf')                  |     22     |
| ('gl_treegal', 'fro_srcmf', 'af_afribooms', 'sk_snk', 'hr_set', 'hu_szeged', 'nl_lassysmall', 'hy_armtdp', 'da_ddt', 'zh_gsd')   |     22     |
| ('pt_bosque', 'nl_lassysmall', 'la_ittb', 'de_gsd', 'th_pud', 'vi_vtb', 'zh_gsd', 'cs_cac', 'ca_ancora', 'hy_armtdp')            |     22     |
| ('got_proiel', 'de_gsd', 'hu_szeged', 'fr_spoken', 'cs_fictree', 'hy_armtdp', 'grc_proiel', 'la_ittb', 'fr_sequoia', 'sv_lines') |     22     |
| ('cs_pdt', 'sv_talbanken', 'nl_alpino', 'fr_spoken', 'hy_armtdp', 'hi_hdtb', 'la_proiel', 'ca_ancora', 'got_proiel', 'la_ittb')  |     22     |
| ('got_proiel', 'ja_gsd', 'cs_pdt', 'ur_udtb', 'en_lines', 'zh_gsd', 'de_gsd', 'la_proiel', 'hy_armtdp', 'en_gum')                |     22     |
| ('pl_sz', 'es_ancora', 'pt_bosque', 'de_gsd', 'ur_udtb', 'zh_gsd', 'da_ddt', 'he_htb', 'fro_srcmf', 'en_ewt')                    |     22     |
| ('pl_lfg', 'eu_bdt', 'ur_udtb', 'hy_armtdp', 'da_ddt', 'it_isdt', 'ja_gsd', 'got_proiel', 'pt_bosque', 'cs_pdt')                 |     22     |
| ('hy_armtdp', 'sr_set', 'zh_gsd', 'gl_treegal', 'en_lines', 'af_afribooms', 'la_ittb', 'nl_alpino', 'es_ancora', 'it_isdt')      |     22     |
| ('en_lines', 'pl_sz', 'en_gum', 'fro_srcmf', 'th_pud', 'got_proiel', 'hy_armtdp', 'sl_sst', 'da_ddt', 'af_afribooms')            |     22     |

INFO: Showing outliers for Sentence segmentation

| Subset                                                                                                                   |  Position  |
|--------------------------------------------------------------------------------------------------------------------------|------------|
| ('nl_alpino', 'et_edt', 'th_pud', 'he_htb', 'sl_ssj', 'en_pud', 'grc_perseus', 'sr_set', 'la_proiel', 'vi_vtb')          |     17     |
| ('vi_vtb', 'en_pud', 'it_isdt', 'ro_rrt', 'et_edt', 'pt_bosque', 'th_pud', 'grc_proiel', 'hu_szeged', 'de_gsd')          |     17     |
| ('th_pud', 'en_gum', 'sk_snk', 'it_isdt', 'la_ittb', 'fi_tdt', 'id_gsd', 'zh_gsd', 'af_afribooms', 'en_pud')             |     17     |
