INFO: Obtaining the 10 worst outliers for parser Phoenix (Shanghai) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                        |  Position  |
|-------------------------------------------------------------------------------------------------------------------------------|------------|
| ('nl_alpino', 'id_gsd', 'hsb_ufal', 'fro_srcmf', 'sl_sst', 'ur_udtb', 'eu_bdt', 'cs_pdt', 'bxr_bdt', 'grc_perseus')           |     22     |
| ('cs_fictree', 'sme_giella', 'ar_padt', 'nl_lassysmall', 'ko_gsd', 'th_pud', 'hsb_ufal', 'no_nynorsklia', 'fr_gsd', 'pl_lfg') |     22     |
| ('cs_cac', 'bg_btb', 'no_bokmaal', 'fi_ftb', 'es_ancora', 'la_proiel', 'no_nynorsk', 'br_keb', 'ko_gsd', 'fo_oft')            |     22     |
| ('fr_gsd', 'af_afribooms', 'th_pud', 'sk_snk', 'ko_gsd', 'grc_perseus', 'br_keb', 'es_ancora', 'ur_udtb', 'hi_hdtb')          |     22     |
| ('cs_fictree', 'tr_imst', 'da_ddt', 'en_gum', 'ko_kaist', 'th_pud', 'it_isdt', 'kmr_mg', 'la_proiel', 'hsb_ufal')             |     22     |
| ('af_afribooms', 'fi_ftb', 'el_gdt', 'ko_gsd', 'fo_oft', 'bxr_bdt', 'ko_kaist', 'he_htb', 'de_gsd', 'nl_alpino')              |     22     |
| ('en_gum', 'cu_proiel', 'cs_fictree', 'th_pud', 'br_keb', 'no_nynorsklia', 'ca_ancora', 'ko_kaist', 'no_bokmaal', 'el_gdt')   |     22     |
| ('pt_bosque', 'vi_vtb', 'gl_treegal', 'bxr_bdt', 'eu_bdt', 'ko_gsd', 'fr_spoken', 'en_lines', 'el_gdt', 'th_pud')             |     22     |
| ('fi_ftb', 'sme_giella', 'hu_szeged', 'ko_gsd', 'ja_modern', 'br_keb', 'no_nynorsklia', 'no_nynorsk', 'eu_bdt', 'he_htb')     |     22     |
| ('it_isdt', 'pt_bosque', 'fi_ftb', 'sme_giella', 'sl_sst', 'th_pud', 'gl_ctg', 'ko_gsd', 'ja_gsd', 'hy_armtdp')               |     22     |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                 |  Position  |
|------------------------------------------------------------------------------------------------------------------------|------------|
| ('fo_oft', 'id_gsd', 'kmr_mg', 'gl_ctg', 'bxr_bdt', 'ur_udtb', 'hy_armtdp', 'th_pud', 'la_ittb', 'pcm_nsc')            |     21     |
| ('sv_talbanken', 'ko_gsd', 'hsb_ufal', 'th_pud', 'hy_armtdp', 'fr_spoken', 'fo_oft', 'kk_ktb', 'hi_hdtb', 'pt_bosque') |     21     |
| ('bg_btb', 'ko_kaist', 'br_keb', 'pcm_nsc', 'sl_sst', 'el_gdt', 'bxr_bdt', 'hsb_ufal', 'en_lines', 'th_pud')           |     21     |
| ('fa_seraji', 'kmr_mg', 'hy_armtdp', 'kk_ktb', 'fo_oft', 'grc_perseus', 'ko_kaist', 'th_pud', 'el_gdt', 'zh_gsd')      |     21     |
| ('pcm_nsc', 'ja_modern', 'af_afribooms', 'br_keb', 'ko_gsd', 'no_nynorsklia', 'kmr_mg', 'th_pud', 'he_htb', 'cs_cac')  |     21     |
| ('th_pud', 'ru_taiga', 'ko_gsd', 'sk_snk', 'da_ddt', 'el_gdt', 'hy_armtdp', 'no_nynorsklia', 'en_gum', 'hsb_ufal')     |     21     |
| ('br_keb', 'da_ddt', 'th_pud', 'kk_ktb', 'pt_bosque', 'ko_gsd', 'id_gsd', 'hsb_ufal', 'kmr_mg', 'ca_ancora')           |     21     |
| ('br_keb', 'ko_gsd', 'fi_ftb', 'fr_sequoia', 'he_htb', 'kmr_mg', 'hy_armtdp', 'th_pud', 'ur_udtb', 'pl_lfg')           |     21     |
| ('fi_ftb', 'grc_proiel', 'br_keb', 'gl_treegal', 'hsb_ufal', 'hi_hdtb', 'th_pud', 'hy_armtdp', 'ur_udtb', 'ko_gsd')    |     21     |
| ('br_keb', 'th_pud', 'bxr_bdt', 'hu_szeged', 'grc_perseus', 'hsb_ufal', 'ko_gsd', 'en_gum', 'eu_bdt', 'fo_oft')        |     21     |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                 |  Position  |
|------------------------------------------------------------------------------------------------------------------------|------------|
| ('la_ittb', 'ko_gsd', 'hr_set', 'ga_idt', 'zh_gsd', 'br_keb', 'nl_alpino', 'no_nynorsklia', 'th_pud', 'grc_proiel')    |     20     |
| ('br_keb', 'ko_gsd', 'fi_ftb', 'fr_sequoia', 'he_htb', 'kmr_mg', 'hy_armtdp', 'th_pud', 'ur_udtb', 'pl_lfg')           |     20     |
| ('hi_hdtb', 'gl_treegal', 'hsb_ufal', 'nl_alpino', 'br_keb', 'ca_ancora', 'en_pud', 'ko_gsd', 'cs_pdt', 'th_pud')      |     20     |
| ('no_nynorsklia', 'zh_gsd', 'ko_gsd', 'pl_lfg', 'cs_cac', 'la_ittb', 'hy_armtdp', 'hu_szeged', 'kmr_mg', 'th_pud')     |     20     |
| ('bxr_bdt', 'sv_talbanken', 'fi_ftb', 'af_afribooms', 'hy_armtdp', 'ko_gsd', 'it_isdt', 'ur_udtb', 'th_pud', 'zh_gsd') |     20     |
| ('zh_gsd', 'th_pud', 'br_keb', 'en_ewt', 'sk_snk', 'kmr_mg', 'pl_lfg', 'ja_gsd', 'ko_gsd', 'he_htb')                   |     20     |
| ('cs_fictree', 'bxr_bdt', 'hsb_ufal', 'zh_gsd', 'da_ddt', 'pcm_nsc', 'ko_gsd', 'cs_cac', 'no_nynorsk', 'br_keb')       |     20     |
| ('sr_set', 'br_keb', 'ko_gsd', 'hsb_ufal', 'sv_lines', 'th_pud', 'cs_cac', 'la_ittb', 'hy_armtdp', 'da_ddt')           |     20     |
| ('th_pud', 'sv_lines', 'ur_udtb', 'br_keb', 'nl_alpino', 'hi_hdtb', 'sk_snk', 'en_lines', 'ko_gsd', 'sme_giella')      |     20     |
| ('fi_ftb', 'hsb_ufal', 'zh_gsd', 'fr_sequoia', 'pcm_nsc', 'ja_gsd', 'it_isdt', 'br_keb', 'ko_gsd', 'sk_snk')           |     20     |

INFO: Showing outliers for UAS

| Subset                                                                                                                           |  Position  |
|----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sme_giella', 'ko_gsd', 'ca_ancora', 'el_gdt', 'sr_set', 'br_keb', 'ja_modern', 'fro_srcmf', 'bxr_bdt', 'bg_btb')               |     23     |
| ('cs_fictree', 'sme_giella', 'ar_padt', 'nl_lassysmall', 'ko_gsd', 'th_pud', 'hsb_ufal', 'no_nynorsklia', 'fr_gsd', 'pl_lfg')    |     23     |
| ('hi_hdtb', 'vi_vtb', 'fro_srcmf', 'el_gdt', 'no_nynorsklia', 'cs_cac', 'fa_seraji', 'sk_snk', 'br_keb', 'bxr_bdt')              |     23     |
| ('cs_cac', 'no_nynorsklia', 'nl_lassysmall', 'nl_alpino', 'pt_bosque', 'bxr_bdt', 'kmr_mg', 'fro_srcmf', 'gl_treegal', 'ko_gsd') |     23     |
| ('hsb_ufal', 'fro_srcmf', 'pl_sz', 'bxr_bdt', 'ko_gsd', 'eu_bdt', 'gl_ctg', 'vi_vtb', 'pl_lfg', 'cs_cac')                        |     23     |
| ('bxr_bdt', 'nl_lassysmall', 'ur_udtb', 'br_keb', 'th_pud', 'bg_btb', 'grc_proiel', 'fr_gsd', 'sk_snk', 'ko_gsd')                |     23     |
| ('nl_alpino', 'br_keb', 'nl_lassysmall', 'hy_armtdp', 'he_htb', 'ur_udtb', 'ja_gsd', 'cs_cac', 'sv_lines', 'cs_fictree')         |     23     |
